Cell Names,Date String,Tower Name,Zip,Attempted,Completed,Dropped,Dropped Call Percentage,F1,Number of Records
Rumia,10/04/2015 06:38,Reflector Pond,603,1,1,0,0,3663,1
KTV 2,10/04/2015 06:39,Eastower,603,1,1,0,0,3479,1
KTV 2,10/04/2015 06:39,Leaffson,603,1,1,0,0,1877,1
KTV 2,10/04/2015 06:39,Eastower,603,1,1,0,0,2270,1
Rumia,10/04/2015 06:39,Leaffson,603,1,1,0,0,1069,1
Rumia,10/04/2015 06:39,Leaffson,603,1,1,0,0,2932,1
Rumia,10/04/2015 06:39,Eastower,603,1,1,0,0,3424,1
Rexus,10/04/2015 06:40,Reflector Pond,603,1,1,0,0,1516,1
KTV 2,10/04/2015 06:40,Leaffson,603,1,1,0,0,3589,1
KTV 2,10/04/2015 06:40,Clown Castle,603,1,1,0,0,3473,1
Fallacy,10/04/2015 06:41,Eastower,603,1,1,0,0,3670,1
Fallacy,10/04/2015 06:42,Clown Castle,602,1,1,0,0,853,1
Rumia,10/04/2015 06:42,Reflector Pond,602,1,1,0,0,516,1
Rumia,10/04/2015 06:42,Eastower,603,1,1,0,0,2861,1
Shaver,10/04/2015 06:42,Reflector Pond,610,1,1,0,0,4036,1
Iclone,10/04/2015 06:43,Clown Castle,603,1,1,0,0,2778,1
Rexus,10/04/2015 06:43,Leaffson,603,1,1,0,0,3517,1
Rexus,10/04/2015 06:43,Eastower,603,1,1,0,0,1776,1
Rexus,10/04/2015 06:43,Clown Castle,603,1,1,0,0,2366,1
Fallacy,10/04/2015 06:43,Clown Castle,603,1,1,0,0,1870,1
Rumia,10/04/2015 06:44,Leaffson,602,1,1,0,0,704,1
Rumia,10/04/2015 06:44,Leaffson,603,1,1,0,0,1129,1
Rumia,10/04/2015 06:44,Eastower,610,1,0,1,1,4057,1
Rumia,10/04/2015 06:44,Reflector Pond,610,1,1,0,0,4052,1
KTV 2,10/04/2015 06:45,Eastower,602,1,1,0,0,58,1
KTV 2,10/04/2015 06:45,Reflector Pond,603,1,1,0,0,3695,1
Rumia,10/04/2015 06:45,Leaffson,603,1,1,0,0,2188,1
Iclone,10/04/2015 06:45,Reflector Pond,610,1,1,0,0,4026,1
KTV 2,10/04/2015 06:45,Clown Castle,610,1,1,0,0,4041,1
Fallacy,10/04/2015 06:46,Clown Castle,602,1,1,0,0,779,1
Fallacy,10/04/2015 06:46,Eastower,603,1,1,0,0,3387,1
Fallacy,10/04/2015 06:46,Reflector Pond,603,1,1,0,0,1258,1
KTV 2,10/04/2015 06:47,Leaffson,603,1,1,0,0,2714,1
KTV 2,10/04/2015 06:47,Leaffson,603,1,1,0,0,2856,1
Rexus,10/04/2015 06:48,Clown Castle,603,1,1,0,0,1819,1
KTV 2,10/04/2015 06:48,Reflector Pond,603,1,1,0,0,1325,1
Shaver,10/04/2015 06:48,Clown Castle,603,1,1,0,0,3564,1
Shaver,10/04/2015 06:48,Reflector Pond,603,1,1,0,0,1529,1
Iclone,10/04/2015 06:48,GLU,604,1,1,0,0,3791,1
Fallacy,10/04/2015 06:49,Eastower,603,1,1,0,0,2810,1
Fallacy,10/04/2015 06:49,Clown Castle,603,1,1,0,0,3088,1
Rexus,10/04/2015 06:50,Leaffson,602,1,1,0,0,596,1
Rexus,10/04/2015 06:50,Reflector Pond,603,1,1,0,0,1041,1
Fallacy,10/04/2015 06:50,Leaffson,603,1,1,0,0,3205,1
Rumia,10/04/2015 06:51,Reflector Pond,602,1,1,0,0,654,1
KTV 2,10/04/2015 06:51,Clown Castle,603,1,1,0,0,3350,1
Rexus,10/04/2015 06:52,Eastower,602,1,1,0,0,333,1
Shaver,10/04/2015 06:52,GLU,602,1,1,0,0,434,1
Rexus,10/04/2015 06:52,GLU,603,1,1,0,0,3502,1
Fallacy,10/04/2015 06:52,Reflector Pond,603,1,1,0,0,951,1
Rumia,10/04/2015 06:52,Eastower,603,1,1,0,0,3377,1
KTV 2,10/04/2015 06:53,Eastower,603,1,1,0,0,1179,1
Shaver,10/04/2015 06:53,Reflector Pond,603,1,1,0,0,1020,1
Fallacy,10/04/2015 06:54,Reflector Pond,603,1,1,0,0,3209,1
Rumia,10/04/2015 06:54,Clown Castle,603,1,1,0,0,2851,1
Fallacy,10/04/2015 06:55,Reflector Pond,602,1,1,0,0,683,1
Rumia,10/04/2015 06:55,Leaffson,603,1,1,0,0,2970,1
Fallacy,10/04/2015 06:55,Reflector Pond,606,1,1,0,0,3899,1
Fallacy,10/04/2015 06:56,Reflector Pond,602,1,1,0,0,357,1
Shaver,10/04/2015 06:56,Clown Castle,602,1,1,0,0,680,1
Rexus,10/04/2015 06:56,Reflector Pond,603,1,1,0,0,3352,1
Fallacy,10/04/2015 06:57,Leaffson,602,1,1,0,0,577,1
Iclone,10/04/2015 06:57,Reflector Pond,603,1,1,0,0,1595,1
Rexus,10/04/2015 06:57,Leaffson,603,1,1,0,0,1422,1
Fallacy,10/04/2015 06:57,Reflector Pond,603,1,1,0,0,2921,1
Rumia,10/04/2015 06:58,Reflector Pond,602,1,1,0,0,340,1
Fallacy,10/04/2015 06:58,Clown Castle,603,1,1,0,0,1624,1
Fallacy,10/04/2015 06:58,Reflector Pond,603,1,1,0,0,3111,1
Iclone,10/04/2015 06:59,Leaffson,602,1,1,0,0,503,1
Rexus,10/04/2015 06:59,GLU,603,1,1,0,0,3077,1
Fallacy,10/04/2015 06:59,Clown Castle,603,1,1,0,0,2022,1
Fallacy,10/04/2015 06:59,Clown Castle,603,1,1,0,0,3360,1
Rumia,10/04/2015 06:59,Reflector Pond,603,1,1,0,0,3327,1
Shaver,10/04/2015 06:59,Leaffson,603,1,1,0,0,2152,1
Shaver,10/04/2015 06:59,Leaffson,603,1,1,0,0,3770,1
Rumia,10/04/2015 06:59,Eastower,610,1,1,0,0,4084,1
Fallacy,10/04/2015 07:00,Reflector Pond,602,1,1,0,0,246,1
Rexus,10/04/2015 07:00,Reflector Pond,603,1,1,0,0,1661,1
KTV 2,10/04/2015 07:00,Leaffson,603,1,1,0,0,932,1
Fallacy,10/04/2015 07:01,Leaffson,603,1,1,0,0,2896,1
Fallacy,10/04/2015 07:02,Reflector Pond,603,1,1,0,0,2405,1
KTV 2,10/04/2015 07:02,Eastower,603,1,1,0,0,2617,1
Rumia,10/04/2015 07:02,Reflector Pond,603,1,1,0,0,1668,1
Fallacy,10/04/2015 07:03,Leaffson,602,1,1,0,0,817,1
Fallacy,10/04/2015 07:03,Clown Castle,602,1,1,0,0,421,1
KTV 2,10/04/2015 07:03,Eastower,603,1,1,0,0,2275,1
Rumia,10/04/2015 07:03,Leaffson,603,1,1,0,0,2719,1
Iclone,10/04/2015 07:04,Clown Castle,603,1,1,0,0,2838,1
Rexus,10/04/2015 07:04,Eastower,603,1,1,0,0,3464,1
Fallacy,10/04/2015 07:04,Clown Castle,603,1,1,0,0,1210,1
Fallacy,10/04/2015 07:04,Clown Castle,603,1,1,0,0,2755,1
Fallacy,10/04/2015 07:04,Reflector Pond,603,1,1,0,0,3153,1
Shaver,10/04/2015 07:04,Clown Castle,603,1,1,0,0,2222,1
Iclone,10/04/2015 07:05,Eastower,603,1,1,0,0,3303,1
Rexus,10/04/2015 07:05,Leaffson,603,1,1,0,0,1659,1
KTV 2,10/04/2015 07:05,Eastower,603,1,1,0,0,2487,1
Rumia,10/04/2015 07:05,Clown Castle,603,1,1,0,0,2682,1
KTV 2,10/04/2015 07:06,Clown Castle,602,1,1,0,0,769,1
Rexus,10/04/2015 07:06,Leaffson,603,1,1,0,0,2889,1
Rumia,10/04/2015 07:06,Eastower,603,1,1,0,0,2058,1
Shaver,10/04/2015 07:06,Clown Castle,610,1,1,0,0,4241,1
Fallacy,10/04/2015 07:07,Eastower,602,1,1,0,0,223,1
KTV 2,10/04/2015 07:07,Reflector Pond,602,1,1,0,0,311,1
Rexus,10/04/2015 07:07,Eastower,603,1,1,0,0,2421,1
Rexus,10/04/2015 07:07,Leaffson,604,1,1,0,0,3815,1
Fallacy,10/04/2015 07:07,Clown Castle,610,1,1,0,0,4249,1
Rexus,10/04/2015 07:08,Reflector Pond,603,1,1,0,0,1795,1
Fallacy,10/04/2015 07:08,GLU,603,1,1,0,0,1552,1
Rumia,10/04/2015 07:08,Reflector Pond,603,1,1,0,0,2084,1
Fallacy,10/04/2015 07:09,Reflector Pond,602,1,1,0,0,440,1
Fallacy,10/04/2015 07:09,Eastower,603,1,1,0,0,1509,1
Rumia,10/04/2015 07:10,Eastower,602,1,1,0,0,274,1
Iclone,10/04/2015 07:10,Reflector Pond,603,1,1,0,0,2155,1
Fallacy,10/04/2015 07:10,Leaffson,603,1,1,0,0,3732,1
Rumia,10/04/2015 07:10,Leaffson,603,1,1,0,0,3717,1
Shaver,10/04/2015 07:10,Leaffson,603,1,1,0,0,3584,1
Rumia,10/04/2015 07:10,Reflector Pond,606,1,1,0,0,3964,1
Rexus,10/04/2015 07:11,Leaffson,602,1,1,0,0,508,1
Fallacy,10/04/2015 07:11,Clown Castle,603,1,1,0,0,3458,1
KTV 2,10/04/2015 07:11,Clown Castle,603,1,1,0,0,1993,1
Rumia,10/04/2015 07:11,Eastower,603,1,1,0,0,3013,1
Fallacy,10/04/2015 07:11,Reflector Pond,606,1,1,0,0,3965,1
Iclone,10/04/2015 07:11,Clown Castle,610,1,1,0,0,4062,1
Rexus,10/04/2015 07:12,Leaffson,603,1,1,0,0,995,1
Rexus,10/04/2015 07:12,Eastower,603,1,1,0,0,1208,1
Rexus,10/04/2015 07:12,Reflector Pond,603,1,1,0,0,1023,1
KTV 2,10/04/2015 07:12,Eastower,603,1,1,0,0,1301,1
Rumia,10/04/2015 07:13,Clown Castle,602,1,1,0,0,367,1
Rumia,10/04/2015 07:13,Reflector Pond,602,1,1,0,0,166,1
Rumia,10/04/2015 07:13,Leaffson,603,1,1,0,0,3096,1
Fallacy,10/04/2015 07:14,GLU,603,1,1,0,0,2358,1
KTV 2,10/04/2015 07:14,Eastower,603,1,1,0,0,3519,1
KTV 2,10/04/2015 07:14,Reflector Pond,603,1,1,0,0,1946,1
Shaver,10/04/2015 07:15,Eastower,602,1,1,0,0,825,1
Shaver,10/04/2015 07:15,Clown Castle,602,1,1,0,0,602,1
KTV 2,10/04/2015 07:15,Leaffson,603,1,1,0,0,1685,1
Rumia,10/04/2015 07:15,Eastower,603,1,1,0,0,952,1
Rumia,10/04/2015 07:15,Reflector Pond,603,1,1,0,0,3365,1
Fallacy,10/04/2015 07:16,Reflector Pond,603,1,1,0,0,2309,1
Rumia,10/04/2015 07:17,Leaffson,602,1,1,0,0,296,1
KTV 2,10/04/2015 07:17,Reflector Pond,603,1,1,0,0,2237,1
Rumia,10/04/2015 07:17,Leaffson,603,1,1,0,0,1526,1
Rumia,10/04/2015 07:17,Eastower,603,1,1,0,0,1362,1
Rumia,10/04/2015 07:17,Reflector Pond,603,1,1,0,0,3059,1
KTV 2,10/04/2015 07:17,GLU,606,1,1,0,0,3941,1
KTV 2,10/04/2015 07:18,Clown Castle,602,1,1,0,0,457,1
Rumia,10/04/2015 07:18,Clown Castle,603,1,1,0,0,2651,1
Rexus,10/04/2015 07:18,Reflector Pond,610,1,1,0,0,4226,1
Rumia,10/04/2015 07:19,Leaffson,603,1,1,0,0,1790,1
Fallacy,10/04/2015 07:20,Eastower,602,1,1,0,0,635,1
Iclone,10/04/2015 07:20,Clown Castle,603,1,1,0,0,3704,1
Rexus,10/04/2015 07:20,Clown Castle,603,1,1,0,0,2007,1
KTV 2,10/04/2015 07:20,GLU,603,1,1,0,0,3604,1
KTV 2,10/04/2015 07:20,Leaffson,603,1,1,0,0,3525,1
KTV 2,10/04/2015 07:20,Leaffson,603,1,1,0,0,3509,1
Rumia,10/04/2015 07:20,GLU,603,1,1,0,0,1432,1
Iclone,10/04/2015 07:21,Leaffson,603,1,1,0,0,2247,1
Rexus,10/04/2015 07:21,Reflector Pond,603,1,1,0,0,2662,1
Rexus,10/04/2015 07:22,GLU,603,1,1,0,0,978,1
Fallacy,10/04/2015 07:22,GLU,603,1,1,0,0,3536,1
Rumia,10/04/2015 07:23,Clown Castle,602,1,1,0,0,838,1
KTV 2,10/04/2015 07:23,Eastower,603,1,1,0,0,3089,1
Rumia,10/04/2015 07:23,Eastower,603,1,1,0,0,1655,1
Shaver,10/04/2015 07:23,Leaffson,603,1,1,0,0,1472,1
Shaver,10/04/2015 07:24,Leaffson,602,1,1,0,0,722,1
Rexus,10/04/2015 07:24,Clown Castle,603,1,1,0,0,3603,1
Rumia,10/04/2015 07:24,Eastower,603,1,1,0,0,1186,1
Rumia,10/04/2015 07:24,Leaffson,603,1,1,0,0,2773,1
Rumia,10/04/2015 07:24,Leaffson,603,1,1,0,0,2819,1
Rexus,10/04/2015 07:25,Eastower,603,1,1,0,0,1715,1
Fallacy,10/04/2015 07:25,Leaffson,603,1,1,0,0,1130,1
Fallacy,10/04/2015 07:25,Leaffson,603,1,1,0,0,1282,1
Fallacy,10/04/2015 07:25,Reflector Pond,603,1,1,0,0,2800,1
KTV 2,10/04/2015 07:25,Reflector Pond,603,1,1,0,0,1220,1
Rumia,10/04/2015 07:26,Eastower,602,1,1,0,0,703,1
Iclone,10/04/2015 07:27,Clown Castle,603,1,1,0,0,2416,1
Fallacy,10/04/2015 07:27,Leaffson,603,1,1,0,0,1517,1
KTV 2,10/04/2015 07:28,Reflector Pond,602,1,1,0,0,399,1
KTV 2,10/04/2015 07:28,Eastower,603,1,1,0,0,1405,1
Shaver,10/04/2015 07:29,Leaffson,602,1,1,0,0,668,1
Rexus,10/04/2015 07:29,Reflector Pond,603,1,1,0,0,1046,1
Rumia,10/04/2015 07:29,Clown Castle,603,1,1,0,0,2584,1
Shaver,10/04/2015 07:29,Leaffson,603,1,1,0,0,2048,1
Fallacy,10/04/2015 07:29,Leaffson,610,1,1,0,0,4059,1
KTV 2,10/04/2015 07:29,Clown Castle,610,1,1,0,0,4157,1
Rumia,10/04/2015 07:30,Clown Castle,602,1,1,0,0,133,1
Iclone,10/04/2015 07:30,Reflector Pond,603,1,1,0,0,2669,1
KTV 2,10/04/2015 07:31,GLU,603,1,1,0,0,2263,1
KTV 2,10/04/2015 07:31,Reflector Pond,603,1,1,0,0,1614,1
Rumia,10/04/2015 07:31,Reflector Pond,603,1,1,0,0,1832,1
Rumia,10/04/2015 07:31,Eastower,610,1,1,0,0,4177,1
Rexus,10/04/2015 07:32,Leaffson,603,1,1,0,0,2035,1
Rexus,10/04/2015 07:32,Reflector Pond,603,1,1,0,0,3198,1
KTV 2,10/04/2015 07:32,Leaffson,603,1,1,0,0,2515,1
KTV 2,10/04/2015 07:32,Reflector Pond,603,1,1,0,0,1411,1
Rumia,10/04/2015 07:32,Reflector Pond,603,1,1,0,0,2509,1
Shaver,10/04/2015 07:32,Reflector Pond,603,1,1,0,0,959,1
Rexus,10/04/2015 07:33,Eastower,602,1,1,0,0,404,1
Iclone,10/04/2015 07:34,Eastower,603,1,1,0,0,1170,1
KTV 2,10/04/2015 07:34,Leaffson,603,1,1,0,0,2599,1
KTV 2,10/04/2015 07:34,Reflector Pond,603,1,1,0,0,3776,1
Fallacy,10/04/2015 07:34,Clown Castle,610,1,1,0,0,4141,1
KTV 2,10/04/2015 07:35,Eastower,602,1,1,0,0,248,1
Iclone,10/04/2015 07:35,Eastower,603,1,1,0,0,3338,1
Iclone,10/04/2015 07:35,Eastower,603,1,1,0,0,1829,1
Rexus,10/04/2015 07:35,Clown Castle,603,1,1,0,0,1248,1
Rexus,10/04/2015 07:35,Clown Castle,603,1,1,0,0,2857,1
Rexus,10/04/2015 07:35,Reflector Pond,603,1,1,0,0,2836,1
Fallacy,10/04/2015 07:35,Reflector Pond,603,1,1,0,0,3049,1
Fallacy,10/04/2015 07:35,Reflector Pond,603,1,1,0,0,3330,1
Shaver,10/04/2015 07:37,Reflector Pond,602,1,1,0,0,573,1
Rexus,10/04/2015 07:37,Reflector Pond,603,1,1,0,0,3069,1
Fallacy,10/04/2015 07:37,Eastower,603,1,1,0,0,1945,1
KTV 2,10/04/2015 07:37,Leaffson,603,1,1,0,0,1374,1
Rumia,10/04/2015 07:37,Reflector Pond,603,1,1,0,0,3559,1
Shaver,10/04/2015 07:37,Reflector Pond,603,1,1,0,0,2557,1
Fallacy,10/04/2015 07:37,Reflector Pond,610,1,1,0,0,4103,1
Fallacy,10/04/2015 07:38,Reflector Pond,602,1,1,0,0,386,1
KTV 2,10/04/2015 07:38,Eastower,603,1,1,0,0,2165,1
Rumia,10/04/2015 07:38,Reflector Pond,603,1,1,0,0,3614,1
Rumia,10/04/2015 07:39,Eastower,602,1,1,0,0,595,1
Rexus,10/04/2015 07:39,Eastower,603,1,1,0,0,3522,1
Fallacy,10/04/2015 07:39,Leaffson,603,1,1,0,0,2853,1
Iclone,10/04/2015 07:40,Reflector Pond,603,1,1,0,0,2095,1
Rexus,10/04/2015 07:40,GLU,603,1,1,0,0,3181,1
Rexus,10/04/2015 07:40,Leaffson,603,1,1,0,0,3780,1
Rexus,10/04/2015 07:40,Reflector Pond,603,1,1,0,0,2319,1
Fallacy,10/04/2015 07:40,Reflector Pond,603,1,1,0,0,2607,1
Iclone,10/04/2015 07:41,Leaffson,603,1,1,0,0,3660,1
Rexus,10/04/2015 07:41,Leaffson,603,1,1,0,0,3467,1
Fallacy,10/04/2015 07:41,Reflector Pond,603,1,1,0,0,2630,1
KTV 2,10/04/2015 07:41,Eastower,603,1,1,0,0,3585,1
Rumia,10/04/2015 07:41,Eastower,603,1,1,0,0,2756,1
Rumia,10/04/2015 07:41,Leaffson,603,1,1,0,0,3155,1
Fallacy,10/04/2015 07:42,Eastower,602,1,1,0,0,465,1
Rumia,10/04/2015 07:42,Eastower,603,1,1,0,0,944,1
Rexus,10/04/2015 07:43,Reflector Pond,602,1,1,0,0,231,1
Rumia,10/04/2015 07:43,Eastower,603,1,1,0,0,3318,1
Shaver,10/04/2015 07:43,Clown Castle,603,1,1,0,0,1015,1
Shaver,10/04/2015 07:43,Clown Castle,606,1,1,0,0,3959,1
KTV 2,10/04/2015 07:43,Clown Castle,610,1,1,0,0,4171,1
KTV 2,10/04/2015 07:44,GLU,602,1,1,0,0,192,1
Shaver,10/04/2015 07:44,Leaffson,602,1,1,0,0,732,1
Rexus,10/04/2015 07:44,Leaffson,603,1,1,0,0,1569,1
Fallacy,10/04/2015 07:44,Clown Castle,603,1,0,1,1,3415,1
Rumia,10/04/2015 07:44,GLU,603,1,1,0,0,3165,1
Rumia,10/04/2015 07:44,Clown Castle,603,1,1,0,0,1717,1
Fallacy,10/04/2015 07:45,Reflector Pond,602,1,1,0,0,515,1
Rexus,10/04/2015 07:45,Clown Castle,603,1,1,0,0,3622,1
Fallacy,10/04/2015 07:45,Reflector Pond,603,1,1,0,0,2080,1
KTV 2,10/04/2015 07:45,Clown Castle,603,1,1,0,0,2626,1
Rexus,10/04/2015 07:46,Clown Castle,603,1,1,0,0,2723,1
Fallacy,10/04/2015 07:46,Clown Castle,603,1,0,1,1,1934,1
Shaver,10/04/2015 07:47,Eastower,602,1,1,0,0,728,1
Rexus,10/04/2015 07:47,Clown Castle,603,1,1,0,0,1117,1
Fallacy,10/04/2015 07:47,Leaffson,603,1,1,0,0,1983,1
Shaver,10/04/2015 07:47,Eastower,603,1,1,0,0,3715,1
KTV 2,10/04/2015 07:48,Clown Castle,602,1,1,0,0,406,1
Rumia,10/04/2015 07:48,Eastower,603,1,1,0,0,1012,1
Shaver,10/04/2015 07:48,Eastower,603,1,1,0,0,3274,1
Rumia,10/04/2015 07:49,Eastower,602,1,1,0,0,361,1
Shaver,10/04/2015 07:49,Reflector Pond,602,1,1,0,0,400,1
Rexus,10/04/2015 07:49,Eastower,603,1,1,0,0,2766,1
Rexus,10/04/2015 07:49,Clown Castle,603,1,1,0,0,3118,1
Rexus,10/04/2015 07:49,Reflector Pond,603,1,1,0,0,3369,1
KTV 2,10/04/2015 07:49,Clown Castle,603,1,1,0,0,1785,1
KTV 2,10/04/2015 07:49,Leaffson,603,1,1,0,0,3774,1
KTV 2,10/04/2015 07:49,Reflector Pond,604,1,0,1,1,3831,1
Iclone,10/04/2015 07:50,Reflector Pond,603,1,1,0,0,1927,1
Rexus,10/04/2015 07:50,Reflector Pond,603,1,1,0,0,1841,1
Fallacy,10/04/2015 07:50,GLU,603,1,1,0,0,3693,1
Fallacy,10/04/2015 07:50,Clown Castle,603,1,1,0,0,1083,1
Rumia,10/04/2015 07:50,Leaffson,603,1,1,0,0,3287,1
KTV 2,10/04/2015 07:51,Eastower,603,1,1,0,0,3329,1
KTV 2,10/04/2015 07:51,Eastower,610,1,1,0,0,4256,1
KTV 2,10/04/2015 07:52,Clown Castle,603,1,1,0,0,3123,1
Rumia,10/04/2015 07:52,Reflector Pond,603,1,1,0,0,3431,1
Iclone,10/04/2015 07:53,Leaffson,603,1,1,0,0,3240,1
KTV 2,10/04/2015 07:53,Clown Castle,603,1,1,0,0,1140,1
Rumia,10/04/2015 07:53,Eastower,603,1,1,0,0,1043,1
Rumia,10/04/2015 07:53,Reflector Pond,603,1,1,0,0,1439,1
KTV 2,10/04/2015 07:54,Clown Castle,603,1,1,0,0,1885,1
Rumia,10/04/2015 07:54,Eastower,603,1,1,0,0,3184,1
Rumia,10/04/2015 07:54,Clown Castle,603,1,1,0,0,1652,1
Shaver,10/04/2015 07:54,Reflector Pond,603,1,1,0,0,2993,1
Rexus,10/04/2015 07:55,Clown Castle,603,1,1,0,0,1502,1
Rumia,10/04/2015 07:55,Leaffson,603,1,1,0,0,3642,1
Rexus,10/04/2015 07:56,Reflector Pond,602,1,1,0,0,292,1
Fallacy,10/04/2015 07:56,Leaffson,603,1,1,0,0,3749,1
Rumia,10/04/2015 07:56,Leaffson,603,1,1,0,0,2327,1
Rumia,10/04/2015 07:56,Reflector Pond,603,1,1,0,0,1016,1
Iclone,10/04/2015 07:57,Reflector Pond,603,1,1,0,0,2429,1
Rumia,10/04/2015 07:57,Leaffson,603,1,1,0,0,2608,1
Iclone,10/04/2015 07:58,Clown Castle,603,1,1,0,0,1800,1
KTV 2,10/04/2015 07:58,Leaffson,603,1,1,0,0,1561,1
Rumia,10/04/2015 07:58,Leaffson,603,1,1,0,0,3648,1
Shaver,10/04/2015 07:59,Eastower,603,1,1,0,0,2925,1
KTV 2,10/04/2015 08:00,GLU,602,1,1,0,0,721,1
Fallacy,10/04/2015 08:01,Eastower,602,1,1,0,0,740,1
KTV 2,10/04/2015 08:01,Reflector Pond,602,1,1,0,0,473,1
Fallacy,10/04/2015 08:01,Reflector Pond,603,1,1,0,0,1866,1
KTV 2,10/04/2015 08:03,Leaffson,602,1,1,0,0,180,1
Rexus,10/04/2015 08:03,Eastower,603,1,1,0,0,3146,1
KTV 2,10/04/2015 08:03,Leaffson,603,1,1,0,0,2904,1
KTV 2,10/04/2015 08:03,Eastower,603,1,1,0,0,924,1
Fallacy,10/04/2015 08:04,Reflector Pond,602,1,1,0,0,564,1
Shaver,10/04/2015 08:04,Reflector Pond,602,1,1,0,0,868,1
Shaver,10/04/2015 08:05,Leaffson,602,1,1,0,0,613,1
Rexus,10/04/2015 08:05,Eastower,603,1,1,0,0,3342,1
Fallacy,10/04/2015 08:06,Leaffson,602,1,1,0,0,785,1
KTV 2,10/04/2015 08:06,Reflector Pond,602,1,1,0,0,338,1
Rumia,10/04/2015 08:06,Reflector Pond,602,1,1,0,0,435,1
Iclone,10/04/2015 08:06,Eastower,603,1,1,0,0,1112,1
Rexus,10/04/2015 08:06,Leaffson,603,1,1,0,0,3062,1
KTV 2,10/04/2015 08:06,Clown Castle,603,1,1,0,0,2900,1
Shaver,10/04/2015 08:06,Reflector Pond,603,1,1,0,0,1563,1
Fallacy,10/04/2015 08:06,Clown Castle,610,1,1,0,0,4166,1
Fallacy,10/04/2015 08:07,Reflector Pond,602,1,1,0,0,672,1
Rexus,10/04/2015 08:07,Clown Castle,603,1,1,0,0,2759,1
Fallacy,10/04/2015 08:07,GLU,603,1,1,0,0,3119,1
Shaver,10/04/2015 08:07,Clown Castle,610,1,1,0,0,4071,1
Rexus,10/04/2015 08:08,Leaffson,602,1,1,0,0,702,1
Fallacy,10/04/2015 08:08,Leaffson,603,1,1,0,0,1204,1
Rumia,10/04/2015 08:08,Leaffson,603,1,1,0,0,2938,1
Rumia,10/04/2015 08:08,Leaffson,610,1,1,0,0,4106,1
Iclone,10/04/2015 08:09,Leaffson,602,1,1,0,0,105,1
Rexus,10/04/2015 08:09,Leaffson,603,1,1,0,0,2728,1
Fallacy,10/04/2015 08:09,Reflector Pond,603,1,1,0,0,936,1
Rumia,10/04/2015 08:09,Eastower,604,1,1,0,0,3836,1
Rumia,10/04/2015 08:10,Reflector Pond,603,1,1,0,0,1627,1
Shaver,10/04/2015 08:10,Clown Castle,606,1,1,0,0,3943,1
Rexus,10/04/2015 08:11,Eastower,603,1,1,0,0,2876,1
Rumia,10/04/2015 08:12,Leaffson,602,1,1,0,0,411,1
Iclone,10/04/2015 08:12,GLU,603,1,1,0,0,2486,1
Rexus,10/04/2015 08:12,Eastower,603,1,1,0,0,1062,1
Iclone,10/04/2015 08:13,Clown Castle,610,1,1,0,0,4212,1
Fallacy,10/04/2015 08:14,Clown Castle,602,1,1,0,0,169,1
Fallacy,10/04/2015 08:14,Leaffson,603,1,1,0,0,2130,1
Rumia,10/04/2015 08:14,Reflector Pond,603,1,1,0,0,1672,1
Shaver,10/04/2015 08:14,Leaffson,603,1,1,0,0,2039,1
Rumia,10/04/2015 08:14,Eastower,610,1,1,0,0,4082,1
KTV 2,10/04/2015 08:15,Eastower,602,1,1,0,0,123,1
Rexus,10/04/2015 08:15,Eastower,603,1,1,0,0,2157,1
Rumia,10/04/2015 08:15,Reflector Pond,603,1,1,0,0,3429,1
Rexus,10/04/2015 08:15,Eastower,604,1,1,0,0,3797,1
KTV 2,10/04/2015 08:15,Leaffson,610,1,1,0,0,4214,1
Fallacy,10/04/2015 08:16,Clown Castle,603,1,1,0,0,1689,1
Rexus,10/04/2015 08:16,Reflector Pond,606,1,1,0,0,3851,1
Rexus,10/04/2015 08:17,Reflector Pond,602,1,1,0,0,455,1
Fallacy,10/04/2015 08:17,Leaffson,602,1,1,0,0,448,1
KTV 2,10/04/2015 08:17,Leaffson,602,1,1,0,0,202,1
Iclone,10/04/2015 08:17,Leaffson,603,1,1,0,0,1949,1
Fallacy,10/04/2015 08:17,Reflector Pond,603,1,1,0,0,2481,1
Rumia,10/04/2015 08:17,Eastower,606,1,1,0,0,3967,1
Rexus,10/04/2015 08:18,Reflector Pond,603,1,1,0,0,1625,1
Fallacy,10/04/2015 08:19,Eastower,602,1,1,0,0,460,1
Rexus,10/04/2015 08:19,Reflector Pond,603,1,1,0,0,3238,1
KTV 2,10/04/2015 08:19,Reflector Pond,603,1,1,0,0,2375,1
Rexus,10/04/2015 08:19,Clown Castle,610,1,1,0,0,4031,1
KTV 2,10/04/2015 08:19,Clown Castle,610,1,1,0,0,4243,1
Rexus,10/04/2015 08:20,Reflector Pond,602,1,1,0,0,275,1
Fallacy,10/04/2015 08:20,Reflector Pond,603,1,1,0,0,3023,1
KTV 2,10/04/2015 08:20,Clown Castle,603,1,1,0,0,1892,1
Iclone,10/04/2015 08:21,Clown Castle,603,1,1,0,0,1350,1
KTV 2,10/04/2015 08:21,Eastower,603,1,1,0,0,1194,1
Rumia,10/04/2015 08:21,Leaffson,603,1,1,0,0,1792,1
Iclone,10/04/2015 08:22,Eastower,602,1,1,0,0,759,1
Fallacy,10/04/2015 08:23,Leaffson,603,1,1,0,0,1674,1
Iclone,10/04/2015 08:24,Eastower,602,1,1,0,0,532,1
Iclone,10/04/2015 08:24,Clown Castle,603,1,1,0,0,3678,1
